CustomerID,Purchase Date,Revenue,Product
00130000007CqzW,2016-04-19,1.00,Soft Drinks
00130000007CqzW,2016-07-21,1.00,Tea
00130000007CqzW,2016-09-26,19.07,Vegetables
00130000007CsV4,2018-12-01,17.99,Coffee
00130000007CsV4,2019-06-24,431.89,Pastries and sweets
00130000007CsV4,2019-11-22,53.74,BIO products
00130000007CsV4,2020-06-02,30.96,Books
00130000007Jmjw,2016-04-29,1.00,Tea
00130000007TOZ6,2016-11-28,21.47,Vegetables
00130000007URI9,2018-02-26,77.46,Meat & fish
00130000007YUGG,2018-01-29,136.70,Milk products
001300000082r7A,2016-03-30,1.00,Meat & fish
001300000082r7A,2017-09-10,6.80,Vegetables
001300000082r7A,2017-11-28,70.80,Milk products
001300000082r7A,2017-11-28,9.00,Milk products
001300000082vOB,2016-01-02,1.00,Tea
001300000082vOB,2016-02-01,1.69,Soft Drinks
001300000082vOB,2016-09-15,213.08,Vegetables
001300000082vOB,2016-11-18,10.80,Coffee
001300000082vOB,2018-09-04,13.50,Milk products
001300000082vOB,2018-09-26,91.20,Pastries and sweets
001300000082vOC,2015-06-01,33.52,BIO products
001300000082vOD,2017-01-09,18.09,Books
001300000082vOD,2018-03-21,13.50,Tea
001300000082vOD,2018-07-13,11.90,Vegetables
001300000082vOD,2019-08-04,0.99,Coffee
001300000082vOD,2019-08-20,17.88,Milk products
001300000082vZa,2014-09-13,20.08,Pastries and sweets
001300000082vZa,2014-11-10,0.99,Milk products
001300000082vZa,2015-01-09,9.00,BIO products
001300000082vZa,2015-01-09,9.00,Books
001300000082vZa,2015-01-11,26.32,Meat & fish
001300000082vZa,2015-01-11,256.45,Tea
001300000082vZa,2015-01-11,571.25,Milk products
001300000082vZa,2015-02-08,15.20,Meat & fish
001300000082vZa,2015-02-10,12.60,Tea
001300000082vZa,2015-04-13,0.99,Coffee
001300000082vZa,2015-05-15,55.33,Milk products
001300000082vZa,2015-05-15,9.00,Coffee
001300000082vZa,2015-05-19,30.00,Milk products
001300000082vZa,2015-05-26,70.60,Tea
001300000082vZa,2015-05-27,9.00,Coffee
001300000082vZa,2015-06-01,9.16,Porcelain. Glas & Co.
001300000082vZa,2015-06-01,65.07,Milk products
001300000082vZa,2015-06-01,106.60,Soft Drinks
001300000082vZa,2015-06-01,62.70,Vegetables
001300000082vZa,2015-06-11,22.20,Coffee
001300000082vZa,2015-06-19,7.00,Pastries and sweets
001300000082vZa,2015-06-19,0.99,Milk products
001300000082vZa,2015-06-19,140.93,BIO products
001300000082vZa,2015-06-22,9.00,Books
001300000082vZa,2015-06-23,9.00,Tea
001300000082vZa,2015-06-23,13.50,Coffee
001300000082vZa,2015-06-25,200.90,Tea
001300000082vZa,2015-06-25,17.99,Coffee
001300000082vZa,2015-06-29,26.99,Pastries and sweets
001300000082vZa,2015-06-30,25.10,BIO products
001300000082vZa,2015-07-13,8.91,Books
001300000082vZa,2015-07-13,166.37,Soft Drinks
001300000082vZa,2015-07-13,21.59,Tea
001300000082vZa,2015-07-13,0.99,Vegetables
001300000082vZa,2015-07-21,0.99,Tea
001300000082vZa,2015-07-21,9.00,Pastries and sweets
001300000082vZa,2015-07-21,9.00,BIO products
001300000082vZa,2015-07-23,15.89,Books
001300000082vZa,2015-07-23,15.89,Soft Drinks
001300000082vZa,2015-07-28,9.00,Vegetables
001300000082vZa,2015-08-07,1.00,Pastries and sweets
001300000082vZa,2015-08-07,1.00,BIO products
001300000082vZa,2015-08-10,1.00,Books
001300000082vZa,2015-08-17,1.00,Soft Drinks
001300000082vZa,2015-08-18,17.99,Vegetables
001300000082vZa,2015-08-18,4.00,Coffee
001300000082vZa,2015-08-18,1.00,Pastries and sweets
001300000082vZa,2015-08-18,1.00,BIO products
001300000082vZa,2015-08-25,1.00,Books
001300000082vZa,2015-08-25,11.99,Soft Drinks
001300000082vZa,2015-08-27,9.00,Tea
001300000082vZa,2015-08-31,15.29,Vegetables
001300000082vZa,2015-08-31,9.00,Coffee
001300000082vZa,2015-09-06,1.00,Pastries and sweets
001300000082vZa,2015-09-07,1.69,BIO products
001300000082vZa,2015-09-07,1.00,Books
001300000082vZa,2015-09-09,1.00,Tea
001300000082vZa,2015-09-09,1.69,Coffee
001300000082vZa,2015-09-09,0.00,Pastries and sweets
001300000082vZa,2015-09-14,1.00,BIO products
001300000082vZa,2015-09-15,1.00,Books
001300000082vZa,2015-09-16,1.00,Tea
001300000082vZa,2015-09-22,1.00,Coffee
001300000082vZa,2015-09-28,1.00,Soft Drinks
001300000082vZa,2015-09-28,1.00,Vegetables
001300000082vZa,2015-10-03,1.00,Coffee
001300000082vZa,2015-10-03,1.00,Soft Drinks
001300000082vZa,2015-10-06,1.00,Tea
001300000082vZa,2015-10-09,1.00,Vegetables
001300000082vZa,2015-10-12,1.00,Coffee
001300000082vZa,2015-10-12,1.00,Pastries and sweets
001300000082vZa,2015-10-21,1.00,Milk products
001300000082vZa,2015-10-22,1.00,BIO products
001300000082vZa,2015-10-22,1.00,Books
001300000082vZa,2015-10-26,1.00,Tea
001300000082vZa,2015-10-26,1.00,Coffee
001300000082vZa,2015-10-28,1.00,Pastries and sweets
001300000082vZa,2015-10-28,1.00,BIO products
001300000082vZa,2015-11-03,9.00,Books
001300000082vZa,2015-11-03,1.00,Tea
001300000082vZa,2015-11-04,1.00,Porcelain. Glas & Co.
001300000082vZa,2015-11-07,1.00,Pastries and sweets
001300000082vZa,2015-11-11,1.00,BIO products
001300000082vZa,2015-11-12,1.00,Books
001300000082vZa,2015-11-19,1.00,Tea
001300000082vZa,2015-11-23,1.00,Soft Drinks
001300000082vZa,2015-11-23,1.00,Vegetables
001300000082vZa,2015-11-24,1.00,Coffee
001300000082vZa,2015-11-25,1.00,Meat & fish
001300000082vZa,2015-11-27,1.00,Tea
001300000082vZa,2015-12-04,1.00,Coffee
001300000082vZa,2015-12-06,1.00,Soft Drinks
001300000082vZa,2015-12-08,1.00,Meat & fish
001300000082vZa,2015-12-11,1.00,Tea
001300000082vZa,2015-12-11,1.00,Vegetables
001300000082vZa,2015-12-11,1.00,Pastries and sweets
001300000082vZa,2015-12-11,1.00,BIO products
001300000082vZa,2015-12-11,1.00,Books
001300000082vZa,2015-12-11,1.00,Soft Drinks
001300000082vZa,2015-12-18,1.00,Tea
001300000082vZa,2015-12-21,1.00,Vegetables
001300000082vZa,2015-12-21,1.00,Coffee
001300000082vZa,2015-12-21,1.00,Pastries and sweets
001300000082vZa,2015-12-21,1.00,BIO products
001300000082vZa,2015-12-22,17.99,Books
001300000082vZa,2015-12-29,1.00,Soft Drinks
001300000082vZa,2015-12-29,1.00,Meat & fish
001300000082vZa,2015-12-29,1.00,Tea
001300000082vZa,2016-01-05,1.00,Porcelain. Glas & Co.
001300000082vZa,2016-01-09,1.00,Coffee
001300000082vZa,2016-01-13,1.00,Porcelain. Glas & Co.
001300000082vZa,2016-01-18,1.00,Milk products
001300000082vZa,2016-01-26,0.69,Soft Drinks
001300000082vZa,2016-01-26,1.00,Meat & fish
001300000082vZa,2016-01-27,1.00,Vegetables
001300000082vZa,2016-01-31,1.00,Coffee
001300000082vZa,2016-02-01,1.00,Milk products
001300000082vZa,2016-02-01,1.00,Meat & fish
001300000082vZa,2016-02-04,1.00,Tea
001300000082vZa,2016-02-07,1.69,Vegetables
001300000082vZa,2016-02-07,1.00,Porcelain. Glas & Co.
001300000082vZa,2016-02-11,1.00,BIO products
001300000082vZa,2016-02-17,1.00,Meat & fish
001300000082vZa,2016-02-18,1.00,Pastries and sweets
001300000082vZa,2016-02-22,1.00,Soft Drinks
001300000082vZa,2016-02-29,1.00,Vegetables
001300000082vZa,2016-03-03,1.00,Coffee
001300000082vZa,2016-03-08,1.69,Milk products
001300000082vZa,2016-03-12,1.69,Tea
001300000082vZa,2016-03-16,1.00,Vegetables
001300000082vZa,2016-03-21,1.00,Coffee
001300000082vZa,2016-03-22,1.00,Milk products
001300000082vZa,2016-03-23,0.69,Pastries and sweets
001300000082vZa,2016-03-29,1.00,BIO products
001300000082vZa,2016-03-29,1.00,Books
001300000082vZa,2016-03-29,1.00,Tea
001300000082vZa,2016-03-30,1.00,Coffee
001300000082vZa,2016-03-30,1.00,Milk products
001300000082vZa,2016-03-30,1.00,Pastries and sweets
001300000082vZa,2016-04-02,1.00,BIO products
001300000082vZa,2016-04-03,1.00,Books
001300000082vZa,2016-04-03,1.00,Tea
001300000082vZa,2016-04-06,1.00,Milk products
001300000082vZa,2016-04-06,1.00,Milk products
001300000082vZa,2016-04-08,1.00,Soft Drinks
001300000082vZa,2016-04-13,1.00,Vegetables
001300000082vZa,2016-04-14,0.41,Coffee
001300000082vZa,2016-04-18,1.00,Tea
001300000082vZa,2016-04-20,1.10,Coffee
001300000082vZa,2016-04-20,1.10,Porcelain. Glas & Co.
001300000082vZa,2016-04-22,1.00,Vegetables
001300000082vZa,2016-04-25,1.10,Milk products
001300000082vZa,2016-05-05,1.00,Pastries and sweets
001300000082vZa,2016-05-05,1.00,BIO products
001300000082vZa,2016-05-07,1.00,Books
001300000082vZa,2016-05-16,1.00,Pastries and sweets
001300000082vZa,2016-05-16,1.00,Milk products
001300000082vZa,2016-05-24,1.00,BIO products
001300000082vZa,2016-05-25,1.10,Books
001300000082vZa,2016-05-27,1.00,Soft Drinks
001300000082vZa,2016-06-01,1.00,Tea
001300000082vZa,2016-06-04,1.00,Vegetables
001300000082vZa,2016-06-10,1.69,Milk products
001300000082vZa,2016-06-12,1.00,Soft Drinks
001300000082vZa,2016-06-12,1.00,Meat & fish
001300000082vZa,2016-06-16,1.00,Vegetables
001300000082vZa,2016-06-20,1.10,Milk products
001300000082vZa,2016-06-30,1.00,Soft Drinks
001300000082vZa,2016-06-30,1.00,Vegetables
001300000082vZa,2016-07-07,1.00,Meat & fish
001300000082vZa,2016-07-07,1.00,Tea
001300000082vZa,2016-07-10,1.10,Coffee
001300000082vZa,2016-07-13,1.00,Pastries and sweets
001300000082vZa,2016-07-13,1.00,Milk products
001300000082vZa,2016-07-14,1.00,BIO products
001300000082vZa,2016-07-18,1.00,Books
001300000082vZa,2016-07-19,1.10,Soft Drinks
001300000082vZa,2016-07-20,1.00,Tea
001300000082vZa,2016-07-21,1.00,Vegetables
001300000082vZa,2016-07-21,1.00,Pastries and sweets
001300000082vZa,2016-07-28,11.90,Milk products
001300000082vZa,2016-07-28,11.90,BIO products
001300000082vZa,2016-07-28,13.50,Books
001300000082vZa,2016-08-02,9.00,Soft Drinks
001300000082vZa,2016-08-02,1.00,Tea
001300000082vZa,2016-08-03,1.00,Vegetables
001300000082vZa,2016-08-03,1.00,Porcelain. Glas & Co.
001300000082vZa,2016-08-03,1.00,Soft Drinks
001300000082vZa,2016-08-03,1.00,Meat & fish
001300000082vZa,2016-08-03,1.00,Porcelain. Glas & Co.
001300000082vZa,2016-08-15,0.02,Meat & fish
001300000082vZa,2016-08-15,15.89,Tea
001300000082vZa,2016-08-17,9.00,Coffee
001300000082vZa,2016-08-17,30.40,Tea
001300000082vZa,2016-08-19,75.24,Coffee
001300000082vZa,2016-08-22,37.97,Tea
001300000082vZa,2016-08-23,10.38,Milk products
001300000082vZa,2016-08-23,47.84,Vegetables
001300000082vZa,2016-08-23,0.00,Milk products
001300000082vZa,2016-08-24,42.93,Soft Drinks
001300000082vZa,2016-08-24,0.99,Vegetables
001300000082vZa,2016-08-26,30.00,Coffee
001300000082vZa,2016-08-29,8.10,Milk products
001300000082vZa,2016-08-30,5.82,Pastries and sweets
001300000082vZa,2016-08-30,103.69,BIO products
001300000082vZa,2016-08-31,10.12,Books
001300000082vZa,2016-08-31,20.24,Tea
001300000082vZa,2016-09-01,21.30,Coffee
001300000082vZa,2016-09-02,12.08,Pastries and sweets
001300000082vZa,2016-09-02,154.64,BIO products
001300000082vZa,2016-09-04,8.22,Books
001300000082vZa,2016-09-05,9.98,Soft Drinks
001300000082vZa,2016-09-05,53.98,Tea
001300000082vZa,2016-09-08,9.00,Vegetables
001300000082vZa,2016-09-13,194.14,Coffee
001300000082vZa,2016-09-15,11.90,Pastries and sweets
001300000082vZa,2016-09-15,29.36,BIO products
001300000082vZa,2016-09-20,26.76,Books
001300000082vZa,2016-09-21,17.88,Soft Drinks
001300000082vZa,2016-09-22,31.66,Tea
001300000082vZa,2016-09-26,29.40,Vegetables
001300000082vZa,2016-09-27,92.62,Milk products
001300000082vZa,2016-09-27,1029.30,Soft Drinks
001300000082vZa,2016-09-27,11.44,Coffee
001300000082vZa,2016-09-27,20.64,Milk products
001300000082vZa,2016-09-28,29.85,Tea
001300000082vZa,2016-10-02,86.21,Vegetables
001300000082vZa,2016-10-02,0.99,Coffee
001300000082vZa,2016-10-03,13.68,Porcelain. Glas & Co.
001300000082vZa,2016-10-05,13.68,Pastries and sweets
001300000082vZa,2016-10-05,9.00,BIO products
001300000082vZa,2016-10-05,0.99,Books
001300000082vZa,2016-10-05,11.90,Soft Drinks
001300000082vZa,2016-10-05,8.56,Tea
001300000082vZa,2016-10-10,11.99,Vegetables
001300000082vZa,2016-10-11,15.20,Milk products
001300000082vZa,2016-10-18,42.00,Soft Drinks
001300000082vZa,2016-10-18,145.44,Vegetables
001300000082vZa,2016-10-18,39.50,Coffee
001300000082vZa,2016-10-19,26.50,Milk products
001300000082vZa,2016-10-19,17.99,Tea
001300000082vZa,2016-10-20,21.60,Porcelain. Glas & Co.
001300000082vZa,2016-10-21,11.36,Soft Drinks
001300000082vZa,2016-10-21,19.07,Vegetables
001300000082vZa,2016-10-24,11.99,Coffee
001300000082vZa,2016-10-24,45.60,Pastries and sweets
001300000082vZa,2016-10-25,91.22,BIO products
001300000082vZa,2016-10-26,9.00,Books
001300000082vZa,2016-10-26,356.02,Meat & fish
001300000082vZa,2016-10-26,9.00,Tea
001300000082vZa,2016-10-28,76.61,BIO products
001300000082vZa,2016-11-03,77.14,Meat & fish
001300000082vZa,2016-11-04,0.99,Milk products
001300000082vZa,2016-11-04,17.89,Pastries and sweets
001300000082vZa,2016-11-05,62.22,Soft Drinks
001300000082vZa,2016-11-05,63.88,Vegetables
001300000082vZa,2016-11-07,41.69,Pastries and sweets
001300000082vZa,2016-11-10,2172.44,Soft Drinks
001300000082vZa,2016-11-11,41.34,Vegetables
001300000082vZa,2016-11-11,215.90,Pastries and sweets
001300000082vZa,2016-11-14,35.98,BIO products
001300000082vZa,2016-11-16,47.15,Books
001300000082vZa,2016-11-18,6.97,Soft Drinks
001300000082vZa,2016-11-21,12.55,Meat & fish
001300000082vZa,2016-11-21,21.59,Vegetables
001300000082vZa,2016-11-21,9.00,Meat & fish
001300000082vZa,2016-11-23,9.20,Tea
001300000082vZa,2016-11-23,27.88,Coffee
001300000082vZa,2016-11-24,47.11,Pastries and sweets
001300000082vZa,2016-11-24,18.47,BIO products
001300000082vZa,2016-11-24,9.00,Books
001300000082vZa,2016-11-28,21.47,Meat & fish
001300000082vZa,2016-11-28,20.20,Tea
001300000082vZa,2016-11-28,36.57,Porcelain. Glas & Co.
001300000082vZa,2016-11-30,12.16,Pastries and sweets
001300000082vZa,2016-12-01,9.00,Milk products
001300000082vZa,2016-12-02,35.57,BIO products
001300000082vZa,2016-12-04,0.99,Books
001300000082vZa,2016-12-05,19.07,Meat & fish
001300000082vZa,2016-12-12,10.11,Vegetables
001300000082vZa,2016-12-13,74.71,Coffee
001300000082vZa,2016-12-14,36.35,Milk products
001300000082vZa,2016-12-14,15.89,Soft Drinks
001300000082vZa,2016-12-14,16.34,Tea
001300000082vZa,2016-12-14,33.46,Vegetables
001300000082vZa,2016-12-19,23.42,Soft Drinks
001300000082vZa,2016-12-19,0.00,Meat & fish
001300000082vZa,2016-12-19,37.69,Vegetables
001300000082vZa,2016-12-19,1.76,Coffee
001300000082vZa,2016-12-20,117.00,Soft Drinks
001300000082vZa,2016-12-23,9.00,Vegetables
001300000082vZa,2016-12-23,47.25,Coffee
001300000082vZa,2016-12-28,30.40,Pastries and sweets
001300000082vZa,2016-12-29,55.10,BIO products
001300000082vZa,2016-12-29,9.50,Books
001300000082vZa,2016-12-31,49.96,Tea
001300000082vZa,2016-12-31,21.59,Coffee
001300000082vZa,2017-01-06,10.53,Pastries and sweets
001300000082vZa,2017-01-06,40.74,BIO products
001300000082vZa,2017-01-06,34.90,Books
001300000082vZa,2017-01-10,85.64,Tea
001300000082vZa,2017-01-11,25.31,Porcelain. Glas & Co.
001300000082vZa,2017-01-11,16.19,Milk products
001300000082vZa,2017-01-11,20.18,Soft Drinks
001300000082vZa,2017-01-11,19.60,Vegetables
001300000082vZa,2017-01-12,44.73,Milk products
001300000082vZa,2017-01-13,17.89,Soft Drinks
001300000082vZa,2017-01-16,58.84,Vegetables
001300000082vZa,2017-01-17,13.25,Coffee
001300000082vZa,2017-01-17,11.90,Pastries and sweets
001300000082vZa,2017-01-17,430.00,BIO products
001300000082vZa,2017-01-18,1.99,Books
001300000082vZa,2017-01-20,30.32,Soft Drinks
001300000082vZa,2017-01-24,18.71,Coffee
001300000082vZa,2017-01-24,56.21,Pastries and sweets
001300000082vZa,2017-01-24,17.48,BIO products
001300000082vZa,2017-01-25,30.57,Books
001300000082vZa,2017-01-26,17.10,Tea
001300000082vZa,2017-01-26,5.70,Milk products
001300000082vZa,2017-01-27,27.84,Tea
001300000082vZa,2017-01-31,27.00,Porcelain. Glas & Co.
001300000082vZa,2017-02-02,480.00,Milk products
001300000082vZa,2017-02-05,7.65,Milk products
